[2025-03-26T13:46:58.218+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:46:58.306+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T02:35:00+00:00 [queued]>
[2025-03-26T13:46:58.471+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T02:35:00+00:00 [queued]>
[2025-03-26T13:46:58.472+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:46:58.937+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app2> on 2025-03-25 02:35:00+00:00
[2025-03-26T13:46:59.288+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=767) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:46:59.289+0000] {standard_task_runner.py:72} INFO - Started process 777 to run task
[2025-03-26T13:46:59.291+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app2', 'scheduled__2025-03-25T02:35:00+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpz27t_9e2']
[2025-03-26T13:46:59.304+0000] {standard_task_runner.py:105} INFO - Job 81: Subtask php_app2
[2025-03-26T13:47:00.678+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T02:35:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:47:02.400+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='andre' AIRFLOW_CTX_DAG_ID='containers1_dag' AIRFLOW_CTX_TASK_ID='php_app2' AIRFLOW_CTX_EXECUTION_DATE='2025-03-25T02:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-25T02:35:00+00:00'
[2025-03-26T13:47:02.519+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-26T13:47:02.789+0000] {docker.py:345} INFO - Starting docker container from image php-app2
[2025-03-26T13:47:02.834+0000] {docker.py:353} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2025-03-26T13:47:06.855+0000] {docker.py:69} INFO - array(86) {
[2025-03-26T13:47:06.855+0000] {docker.py:69} INFO -   [0]=>
[2025-03-26T13:47:06.856+0000] {docker.py:69} INFO -   object(stdClass)#2 (3) {
[2025-03-26T13:47:06.857+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.858+0000] {docker.py:69} INFO -     int(0)
[2025-03-26T13:47:06.859+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.859+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:47:06.859+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:47:06.860+0000] {docker.py:69} INFO -     int(1742852307)
[2025-03-26T13:47:06.860+0000] {docker.py:69} INFO -   }
[2025-03-26T13:47:06.861+0000] {docker.py:69} INFO -   [1]=>
[2025-03-26T13:47:06.861+0000] {docker.py:69} INFO -   object(stdClass)#3 (3) {
[2025-03-26T13:47:06.861+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.862+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:47:06.862+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.862+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:47:06.863+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:47:06.863+0000] {docker.py:69} INFO -     int(1742852309)
[2025-03-26T13:47:06.863+0000] {docker.py:69} INFO -   }
[2025-03-26T13:47:06.864+0000] {docker.py:69} INFO -   [2]=>
[2025-03-26T13:47:06.864+0000] {docker.py:69} INFO -   object(stdClass)#4 (3) {
[2025-03-26T13:47:06.865+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.865+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:47:06.866+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.867+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:47:06.867+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:47:06.868+0000] {docker.py:69} INFO -     int(1742852311)
[2025-03-26T13:47:06.868+0000] {docker.py:69} INFO -   }
[2025-03-26T13:47:06.869+0000] {docker.py:69} INFO -   [3]=>
[2025-03-26T13:47:06.869+0000] {docker.py:69} INFO -   object(stdClass)#5 (3) {
[2025-03-26T13:47:06.869+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.870+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:47:06.870+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.870+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:47:06.871+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:47:06.871+0000] {docker.py:69} INFO -     int(1742852314)
[2025-03-26T13:47:06.871+0000] {docker.py:69} INFO -   }
[2025-03-26T13:47:06.872+0000] {docker.py:69} INFO -   [4]=>
[2025-03-26T13:47:06.872+0000] {docker.py:69} INFO -   object(stdClass)#6 (3) {
[2025-03-26T13:47:06.873+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.873+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:47:06.873+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.874+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:47:06.874+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:47:06.874+0000] {docker.py:69} INFO -     int(1742996301)
[2025-03-26T13:47:06.875+0000] {docker.py:69} INFO -   }
[2025-03-26T13:47:06.875+0000] {docker.py:69} INFO -   [5]=>
[2025-03-26T13:47:06.875+0000] {docker.py:69} INFO -   object(stdClass)#7 (3) {
[2025-03-26T13:47:06.876+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.876+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:47:06.877+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.877+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:47:06.877+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:47:06.878+0000] {docker.py:69} INFO -     int(1742996302)
[2025-03-26T13:47:06.878+0000] {docker.py:69} INFO -   }
[2025-03-26T13:47:06.878+0000] {docker.py:69} INFO -   [6]=>
[2025-03-26T13:47:06.879+0000] {docker.py:69} INFO -   object(stdClass)#8 (3) {
[2025-03-26T13:47:06.879+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:47:06.879+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:47:06.880+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:47:06.880+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:47:06.880+0000] {docker.py:69} INFO -     ["timestamp"]=>
