[2025-03-26T13:53:47.292+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:53:47.419+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T13:25:00+00:00 [queued]>
[2025-03-26T13:53:47.449+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T13:25:00+00:00 [queued]>
[2025-03-26T13:53:47.449+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:53:47.668+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app2> on 2025-03-25 13:25:00+00:00
[2025-03-26T13:53:47.754+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1760) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:53:47.756+0000] {standard_task_runner.py:72} INFO - Started process 1769 to run task
[2025-03-26T13:53:47.741+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app2', 'scheduled__2025-03-25T13:25:00+00:00', '--job-id', '344', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmphynuenhd']
[2025-03-26T13:53:47.781+0000] {standard_task_runner.py:105} INFO - Job 344: Subtask php_app2
[2025-03-26T13:53:48.073+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T13:25:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:53:49.042+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='andre' AIRFLOW_CTX_DAG_ID='containers1_dag' AIRFLOW_CTX_TASK_ID='php_app2' AIRFLOW_CTX_EXECUTION_DATE='2025-03-25T13:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-25T13:25:00+00:00'
[2025-03-26T13:53:49.045+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-26T13:53:49.198+0000] {docker.py:345} INFO - Starting docker container from image php-app2
[2025-03-26T13:53:49.219+0000] {docker.py:353} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2025-03-26T13:53:52.834+0000] {docker.py:69} INFO - array(344) {
[2025-03-26T13:53:52.841+0000] {docker.py:69} INFO -   [0]=>
[2025-03-26T13:53:52.842+0000] {docker.py:69} INFO -   object(stdClass)#2 (3) {
[2025-03-26T13:53:52.842+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:52.870+0000] {docker.py:69} INFO -     int(0)
[2025-03-26T13:53:52.871+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:52.895+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:53:52.941+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:52.942+0000] {docker.py:69} INFO -     int(1742852307)
[2025-03-26T13:53:52.942+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:52.943+0000] {docker.py:69} INFO -   [1]=>
[2025-03-26T13:53:52.943+0000] {docker.py:69} INFO -   object(stdClass)#3 (3) {
[2025-03-26T13:53:52.944+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:52.944+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:52.945+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:52.945+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:53:52.946+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:52.946+0000] {docker.py:69} INFO -     int(1742852309)
[2025-03-26T13:53:52.946+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:52.947+0000] {docker.py:69} INFO -   [2]=>
[2025-03-26T13:53:52.947+0000] {docker.py:69} INFO -   object(stdClass)#4 (3) {
[2025-03-26T13:53:52.948+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:52.948+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:52.949+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:52.949+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:53:52.949+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:52.950+0000] {docker.py:69} INFO -     int(1742852311)
[2025-03-26T13:53:52.950+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:52.950+0000] {docker.py:69} INFO -   [3]=>
[2025-03-26T13:53:52.951+0000] {docker.py:69} INFO -   object(stdClass)#5 (3) {
[2025-03-26T13:53:52.951+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:52.951+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:52.952+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:52.952+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:53:52.953+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:52.953+0000] {docker.py:69} INFO -     int(1742852314)
[2025-03-26T13:53:52.953+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:52.954+0000] {docker.py:69} INFO -   [4]=>
[2025-03-26T13:53:52.954+0000] {docker.py:69} INFO -   object(stdClass)#6 (3) {
[2025-03-26T13:53:52.955+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:52.956+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:52.956+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:52.957+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:53:52.957+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:52.958+0000] {docker.py:69} INFO -     int(1742996301)
[2025-03-26T13:53:52.958+0000] {docker.py:69} INFO -   }
