[2025-03-26T13:53:49.784+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:53:49.835+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T13:40:00+00:00 [queued]>
[2025-03-26T13:53:49.866+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T13:40:00+00:00 [queued]>
[2025-03-26T13:53:49.866+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:53:50.014+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app2> on 2025-03-25 13:40:00+00:00
[2025-03-26T13:53:50.032+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1775) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:53:50.035+0000] {standard_task_runner.py:72} INFO - Started process 1790 to run task
[2025-03-26T13:53:50.044+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app2', 'scheduled__2025-03-25T13:40:00+00:00', '--job-id', '351', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpm6qrxb9o']
[2025-03-26T13:53:50.066+0000] {standard_task_runner.py:105} INFO - Job 351: Subtask php_app2
[2025-03-26T13:53:50.575+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T13:40:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:53:51.329+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='andre' AIRFLOW_CTX_DAG_ID='containers1_dag' AIRFLOW_CTX_TASK_ID='php_app2' AIRFLOW_CTX_EXECUTION_DATE='2025-03-25T13:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-25T13:40:00+00:00'
[2025-03-26T13:53:51.330+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-26T13:53:51.603+0000] {docker.py:345} INFO - Starting docker container from image php-app2
[2025-03-26T13:53:51.681+0000] {docker.py:353} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2025-03-26T13:53:57.882+0000] {docker.py:69} INFO - array(352) {
[2025-03-26T13:53:57.885+0000] {docker.py:69} INFO -   [0]=>
[2025-03-26T13:53:57.886+0000] {docker.py:69} INFO -   object(stdClass)#2 (3) {
[2025-03-26T13:53:57.889+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:57.898+0000] {docker.py:69} INFO -     int(0)
[2025-03-26T13:53:57.898+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:57.899+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:53:57.899+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:57.900+0000] {docker.py:69} INFO -     int(1742852307)
[2025-03-26T13:53:57.900+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:57.900+0000] {docker.py:69} INFO -   [1]=>
[2025-03-26T13:53:57.901+0000] {docker.py:69} INFO -   object(stdClass)#3 (3) {
[2025-03-26T13:53:57.901+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:57.902+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:57.902+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:57.903+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:53:57.903+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:57.903+0000] {docker.py:69} INFO -     int(1742852309)
[2025-03-26T13:53:57.904+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:57.904+0000] {docker.py:69} INFO -   [2]=>
[2025-03-26T13:53:57.905+0000] {docker.py:69} INFO -   object(stdClass)#4 (3) {
[2025-03-26T13:53:57.905+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:57.905+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:57.906+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:57.906+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:53:57.907+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:57.907+0000] {docker.py:69} INFO -     int(1742852311)
[2025-03-26T13:53:57.907+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:57.908+0000] {docker.py:69} INFO -   [3]=>
[2025-03-26T13:53:57.909+0000] {docker.py:69} INFO -   object(stdClass)#5 (3) {
[2025-03-26T13:53:57.909+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:57.910+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:57.910+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:57.911+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:53:57.911+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:57.912+0000] {docker.py:69} INFO -     int(1742852314)
[2025-03-26T13:53:57.912+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:57.913+0000] {docker.py:69} INFO -   [4]=>
[2025-03-26T13:53:57.913+0000] {docker.py:69} INFO -   object(stdClass)#6 (3) {
[2025-03-26T13:53:57.913+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:57.914+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:57.914+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:57.914+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:53:57.915+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:57.916+0000] {docker.py:69} INFO -     int(1742996301)
[2025-03-26T13:53:57.916+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:57.917+0000] {docker.py:69} INFO -   [5]=>
[2025-03-26T13:53:57.917+0000] {docker.py:69} INFO -   object(stdClass)#7 (3) {
[2025-03-26T13:53:57.917+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:53:57.918+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:53:57.918+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:53:57.919+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:53:57.919+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:53:57.919+0000] {docker.py:69} INFO -     int(1742996302)
[2025-03-26T13:53:57.920+0000] {docker.py:69} INFO -   }
[2025-03-26T13:53:57.920+0000] {docker.py:69} INFO -   [6]=>
